Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
18287358,Food Cloud,1,New Delhi,"Aaya Nagar, New Delhi",Aaya Nagar,"Aaya Nagar, New Delhi",0,0,CuisineVaries,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,2
18216944,Burger.in,1,New Delhi,"84, Near Honda Showroom, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19692286,28.53538174,FastFood,350,Indian Rupees(Rs.),No,Yes,No,No,1,3.2,Orange,Average,46
313333,Days of the Raj,1,New Delhi,"81/3, 1st Floor, Qutub Residency, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19747473,28.53549308,NorthIndian,1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.4,Orange,Average,45
313333,Days of the Raj,1,New Delhi,"81/3, 1st Floor, Qutub Residency, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19747473,28.53549308,Seafood,1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.4,Orange,Average,45
313333,Days of the Raj,1,New Delhi,"81/3, 1st Floor, Qutub Residency, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19747473,28.53549308,Continental,1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.4,Orange,Average,45
18384127,Dilli Ka Dhaba,1,New Delhi,"66 A, Ground Floor, Sri Aurobindo Marg, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1980333,28.5375472,SouthIndian,500,Indian Rupees(Rs.),No,No,No,No,2,2.6,Orange,Average,11
18384127,Dilli Ka Dhaba,1,New Delhi,"66 A, Ground Floor, Sri Aurobindo Marg, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1980333,28.5375472,NorthIndian,500,Indian Rupees(Rs.),No,No,No,No,2,2.6,Orange,Average,11
582,Govardhan,1,New Delhi,"84, Adjacent Hero Motor Bike Showroom, Main Mehrauli Road, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1969242,28.5355234,SouthIndian,500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,238
582,Govardhan,1,New Delhi,"84, Adjacent Hero Motor Bike Showroom, Main Mehrauli Road, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1969242,28.5355234,NorthIndian,500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,238
582,Govardhan,1,New Delhi,"84, Adjacent Hero Motor Bike Showroom, Main Mehrauli Road, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1969242,28.5355234,Chinese,500,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,238
18414465,Mezbaan Grills,1,New Delhi,"A- 96, Shri Aurbindo Marg, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1981225,28.5381335,Mughlai,400,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,8
304243,Say Cheese,1,New Delhi,"88/3, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19815936,28.53744768,FastFood,400,Indian Rupees(Rs.),No,Yes,No,No,1,2.7,Orange,Average,64
3554,Southy,1,New Delhi,"88/4, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19795015,28.53747419,SouthIndian,450,Indian Rupees(Rs.),No,Yes,No,No,1,2.6,Orange,Average,113
18369872,Monosoz,1,New Delhi,"Sri Aurobindo Marg, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19804244,28.53839431,Pizza,300,Indian Rupees(Rs.),No,Yes,No,No,1,3.7,Yellow,Good,66
948,Waves,1,New Delhi,"A-4, Sarvodaya Enclave, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1988082,28.5386662,NorthIndian,1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.5,Yellow,Good,141
948,Waves,1,New Delhi,"A-4, Sarvodaya Enclave, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.1988082,28.5386662,Chinese,1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.5,Yellow,Good,141
2853,Delhi Darbar,1,New Delhi,"84, Main Road, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19696745,28.53576259,Chinese,500,Indian Rupees(Rs.),No,No,No,No,2,2.2,Red,Poor,77
2853,Delhi Darbar,1,New Delhi,"84, Main Road, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19696745,28.53576259,NorthIndian,500,Indian Rupees(Rs.),No,No,No,No,2,2.2,Red,Poor,77
18433900,Chateau,1,New Delhi,"84, Aurobindo Marg, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19679244,28.53565508,Mediterranean,1600,Indian Rupees(Rs.),Yes,No,No,No,3,4,Green,Very Good,40
18433900,Chateau,1,New Delhi,"84, Aurobindo Marg, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19679244,28.53565508,Italian,1600,Indian Rupees(Rs.),Yes,No,No,No,3,4,Green,Very Good,40
18425159,Nariyal Cafe,1,New Delhi,"A-4, 3rd Foor, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.199152,28.538438,Continental,1200,Indian Rupees(Rs.),Yes,No,No,No,3,4.2,Green,Very Good,46
18425159,Nariyal Cafe,1,New Delhi,"A-4, 3rd Foor, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.199152,28.538438,Seafood,1200,Indian Rupees(Rs.),Yes,No,No,No,3,4.2,Green,Very Good,46
18425159,Nariyal Cafe,1,New Delhi,"A-4, 3rd Foor, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.199152,28.538438,Goan,1200,Indian Rupees(Rs.),Yes,No,No,No,3,4.2,Green,Very Good,46
18425159,Nariyal Cafe,1,New Delhi,"A-4, 3rd Foor, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.199152,28.538438,Andhra,1200,Indian Rupees(Rs.),Yes,No,No,No,3,4.2,Green,Very Good,46
18425159,Nariyal Cafe,1,New Delhi,"A-4, 3rd Foor, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.199152,28.538438,Kerala,1200,Indian Rupees(Rs.),Yes,No,No,No,3,4.2,Green,Very Good,46
18425159,Nariyal Cafe,1,New Delhi,"A-4, 3rd Foor, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.199152,28.538438,Thai,1200,Indian Rupees(Rs.),Yes,No,No,No,3,4.2,Green,Very Good,46
310958,Rustom's Parsi Bhonu,1,New Delhi,"94-A/B, Adchini, New Delhi",Adchini,"Adchini, New Delhi",77.19815668,28.53789627,Parsi,1500,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.2,Green,Very Good,665
18334443,BarShala,1,New Delhi,"Aditya Mall, Next to Cross River Mall, CBD, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3006287,28.6557549,FingerFood,600,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,31
18255141,Chawla'sŒ_,1,New Delhi,"Shop SG 40, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3011977,28.6560516,NorthIndian,800,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.4,Orange,Average,32
18255141,Chawla'sŒ_,1,New Delhi,"Shop SG 40, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3011977,28.6560516,Mughlai,800,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.4,Orange,Average,32
197,Domino's Pizza,1,New Delhi,"15/16/16-A, Plot 9-D, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3016337,28.6564531,Pizza,700,Indian Rupees(Rs.),No,No,No,No,2,2.8,Orange,Average,83
197,Domino's Pizza,1,New Delhi,"15/16/16-A, Plot 9-D, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3016337,28.6564531,FastFood,700,Indian Rupees(Rs.),No,No,No,No,2,2.8,Orange,Average,83
308235,Sultanat,1,New Delhi,"31-BC, Ground Floor, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3016026,28.6562624,NorthIndian,1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.7,Yellow,Good,288
308235,Sultanat,1,New Delhi,"31-BC, Ground Floor, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3016026,28.6562624,Chinese,1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.7,Yellow,Good,288
308235,Sultanat,1,New Delhi,"31-BC, Ground Floor, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Aditya Mega Mall, Karkardooma, New Delhi",77.3016026,28.6562624,Continental,1000,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.7,Yellow,Good,288
18258757,Bella Italia,1,New Delhi,"Ground Floor, MLCP, IGI Terminal 3, Aerocity, New Delhi",Aerocity,"Aerocity, New Delhi",77.087897,28.554463,FastFood,550,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,33
18258757,Bella Italia,1,New Delhi,"Ground Floor, MLCP, IGI Terminal 3, Aerocity, New Delhi",Aerocity,"Aerocity, New Delhi",77.087897,28.554463,Italian,550,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,33
18258757,Bella Italia,1,New Delhi,"Ground Floor, MLCP, IGI Terminal 3, Aerocity, New Delhi",Aerocity,"Aerocity, New Delhi",77.087897,28.554463,Pizza,550,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,33
307383,Clever Fox Cafe,1,New Delhi,"Red Fox Hotel, Asset 6, Aerocity Hospitality District, Near Aerocity, New Delhi",Aerocity,"Aerocity, New Delhi",77.120642,28.55169,NorthIndian,900,Indian Rupees(Rs.),Yes,No,No,No,2,3.2,Orange,Average,26
307383,Clever Fox Cafe,1,New Delhi,"Red Fox Hotel, Asset 6, Aerocity Hospitality District, Near Aerocity, New Delhi",Aerocity,"Aerocity, New Delhi",77.120642,28.55169,Continental,900,Indian Rupees(Rs.),Yes,No,No,No,2,3.2,Orange,Average,26
